author	inferreddate	shorttitle	place
	1886.0	"Queens of literature of the Victorian era : by the authors of ""Our queen,"" ""Life of General Gordon,"" etc"	enk
Henty, G. A. (George Alfred)	1886.0	Through the fray : a tale of the Luddite riots	enk
	1886.0	The little Robinson and other tales	enk
Lawless, Emily	1886.0	Hurrish : a study	stk
Laing, S. (Samuel)	1886.0	A sporting Quixote, or, The life and adventures of the Honble. Augustus Fitzmuddle, afterwards Earl of Muddleton	enk
Waldy, Frances Helen	1886.0	Frolic : a scarborough romance	enk
Oliphant, Mrs. (Margaret)	1886.0	A House divided against itself	stk
Oliphant	1886.0	A House divided against itself	stk
Brierley, Benjamin	1886.0	Cotters of Mossburn	enk
Ballantyne, R. M. (Robert Michael)	1886.0	The prairie chief	enk
Cleadas	1886.0	Greedy of gain: a sketch	enk
Bloundelle-Burton, John Edward	1886.0	The silent shore;	enk
Dane, Coventry	1886.0	Jack	enk
Cole, E. W	1886.0	Fun doctor	enk
R??m??svami R??ju, P. V	1886.0	The tales of the sixty mandarins	enk
Addison, Joseph	1886.0	Days with Sir Roger de Coverly	enk
Graham, John W	1886.0	Ne?_ra	enk
Baring-Gould, S. (Sabine)	1886.0	The vicar of Morwenstow. A life of Robert Stephen Hawker, M.A	enk
Gotthelf, Jeremias	1886.0	Ulric, the farm servant  : a story of the Bernese Lowland	enk
Roosevelt, Blanche	1886.0	The copper queen	enk
Blake, Paul	1886.0	Expelled: a story of Eastcote School	enk
Collier, Margaret	1886.0	Our home by the Adriatic	enk
Dickens, Charles	1886.0	"Wellerisms from ""Pickwick"" & ""Master Humphrey's clock"""	enk
Ewing, Juliana Horatia Gatty	1886.0	A great emergency	enk
Braddon, M. E. (Mary Elizabeth)	1886.0	Mohawks	enk
Conway, Hugh	1886.0	Living or dead	enk
Conway, Hugh	1886.0	Living or dead, a novel	enk
Coxon, Ethel	1886.0	The long lane	enk
Eiffe, John P	1886.0	The tales of old Liverpool	enk
Montgomery, Florence	1886.0	Transformed, or, Three weeks in a life-time	enk
Oliphant	1886.0	A country gentleman and his family	enk
Oliphant	1886.0	Effie Ogilvie	stk
Seeley, E. L	1886.0	Border lances	enk
Wilson, A. J	1886.0	The rise and progress of Sir Timothy Buncombe, Kt. and M.P	enk
Philips, F. C	1886.0	Social vicissitudes	enk
Ritchie, Anne Thackeray	1886.0	Miss Williamson's divagations	enk
Ritchie, Anne Thackeray	1886.0	Miss Dymond	enk
Wilkinson, Charles Allix	1886.0	Reminiscences of the court and times of King Ernest of Hanover	enk
Crake, A. D. (Augustine David)	1886.0	The last abbot of Glastonbury : a tale of the dissolution of the monasteries	enk
Ellis, Edward Sylvester	1886.0	Footprints in the forest	enk
Smith, J. Gregory, Mrs	1886.0	Atla : a story of the lost island	enk
	1886.0	The World of thought; a novel	enk
H??lek, V?_t?_zslav	1886.0	Three stories	enk
Burnaby, Fred	1886.0	Our radicals	enk
Ewing, Juliana Horatia Gatty	1886.0	Mrs. Overtheway's remembrances	enk
Kirton, John William	1886.0	True nobility ; or The golden deeds of an earnest life : a record of the career and labours of Anthony Ashley Cooper, seventh Earl of Shaftesbury ; a priceless example for youth	enk
	1886.0	The New Amphion : being the book of the Edinburgh University Union Fancy Fair, in which are contained sundry artistick [sic], instructive, and diverting matters, all now made publick [sic] for the first time	stk
Riddell, J. H., Mrs	1886.0	George Geith of Fen Court	enk
Wood, Ellen	1886.0	A life's secret. A novel	enk
	1886.0	No rose without a thorn and other tales	enk
Blackmore, R. D. (Richard Dooddridge)	1886.0	Lorna Doone, a romance of Exmoor	enk
MacAlpine, Avery	1886.0	Teresa Itasca, and other stories	enk
Gaskell, Elizabeth Cleghorn	1886.0	Cranford and other tales	enk
Macmillan, Malcolm Kingsley	1886.0	Dagonet the jester	enk
Harrison, Joanna	1886.0	A northern lily;	enk
Harrison, Joanna	1886.0	A northern lily; five years of an uneventful life	enk
Yonge, Charlotte M. (Charlotte Mary)	1886.0	Chantry house	enk
Henty, G. A. (George Alfred)	1886.0	Yarns on the beach: a bundle of tales	enk
Ramaswami Raju, P. V	1886.0	The tales of the sixty mandarins	enk
Dostoyevsky, Fyodor	1886.0	Crime and punishment : a Russian realistic novel	enk
Taylor, Ida A	1886.0	Allegiance	enk
Combe, Martin	1886.0	Arnold Robur;	enk
Norris, W. E. (William Edward)	1886.0	A bachelor's blunder	enk
Fothergill, Jessie	1886.0	Borderland	enk
Tytler, Sarah	1886.0	Buried diamonds	enk
Besant, Walter, Sir	1886.0	Children of Gibeon	enk
Baring-Gould, S. (Sabine)	1886.0	Court Royal	enk
Curzon, G	1886.0	Delamere	enk
O'Hanlon, Alice	1886.0	A diamond in the rough	enk
Grant, James	1886.0	Dulcie Carlyon	enk
Ley, Beatrice	1886.0	Fiesole; a novel	enk
	1886.0	FLORA, the Roman martyr	enk
Shand, Alexander Innes	1886.0	Fortune's wheel	stk
Diehl, Alice M	1886.0	Griselda	enk
Payn, James	1886.0	The heir of the ages	enk
Lawless, Emily	1886.0	Hurrish	stk
Allen, Grant	1886.0	In all shades	enk
Hake, Thomas St. E	1886.0	In letters of gold	enk
Downey, Edmund	1886.0	In one town	enk
Tinsley, Lily	1886.0	In the ring	enk
Farjeon, B. L. (Benjamin Leopold)	1886.0	In a silver sea	enk
Moberly, A	1886.0	Lady Valeria	enk
Browne, J. Jemmett	1886.0	Lone lassie	enk
Philips, Francis Charles	1886.0	A lucky young woman. A novel	enk
Fenn, George Manville	1886.0	The master of the ceremonies	enk
Douglas, John	1886.0	Measure for measure	enk
Chetwynd, Henry Wayland	1886.0	Mrs. Dorriman	enk
Norris, W. E. (William Edward)	1886.0	My friend Jim	enk
Reade, Amos	1886.0	Norah Moriarty; or, Revelations of modern Irish life	stk
Mallock, W. H. (William Hurrell)	1886.0	The old order changes	enk
Author of Rare pale Margaret	1886.0	Pomegranate seed	enk
Lambert, George	1886.0	The power of gold. A novel	enk
Corelli, Marie	1886.0	A romance of two worlds	enk
Gray, Maxwell	1886.0	The silence of Dean Maitland	enk
Rowsell, Mary C	1886.0	The silver dial	enk
Harwood, John Berwick	1886.0	Sir Robert Shirley, bart	enk
Boucher, Emile	1886.0	A statesman's love	enk
Needell, Mary Anna Lupton	1886.0	The story of Philip Methuen	stk
Dowling, Richard	1886.0	Tempest-driven	enk
Griffiths, Arthur	1886.0	The thin red line	enk
Fane, Violet	1886.0	Thro' love and war	enk
Sinnett, A. P	1886.0	United	enk
Spender, Emily	1886.0	Until the day breaks	enk
Grey, Oliver	1886.0	A virgin widow	enk
MacDonald, George	1886.0	What's mine's mine	enk
Hardinge, William M	1886.0	The willow-garth	enk
Poynter, E. Frances (Eleanor Frances)	1886.0	The wooing of Catherine, and other tales	enk
Elwes, Alfred	1886.0	Perils afloat and brigands ashore	enk
Gibbon, Charles	1886.0	Clare of Claresmede, a romance	enk
Brierley, Benjamin	1886.0	Tales and sketches of Lancashire life	enk
Fendall, Percy	1886.0	Spiders and flies : a novel	enk
Berens, Louise	1886.0	A woman with a past. A novel. : By Mrs. Berens, ... In three volumes	enk
Linton, E. Lynn (Elizabeth Lynn)	1886.0	Paston Carew, millionaire and miser; a novel	enk
Chetwynd, Henry Wayland, Mrs	1886.0	Sara, a novel	enk
Jenner, Katharine Lee Rawlings	1886.0	Katharine Blythe	enk
Zola, Émile	1886.0	His masterpiece, or, Claude Lantier's struggle for fame : a realistic novel	enk
Fielding, Henry	1886.0	Fielding's novels	enk
Edler, Karl Erdmann	1886.0	Paldine	enk
Edler, Karl Erdmann	1886.0	Notre Dame des Flots. A journey to the Grossglockner Mountain	enk
Thackeray, William Makepeace	1886.0	The Paris sketch book	enk
Robinson, F. W. (Frederick William)	1886.0	A fair maid	enk
M'Laren, Jessie	1886.0	Neil Willox : a story of Edinburgh in the days of Queen Marie	stk
Gaboriau, Emile	1886.0	The count's millions	enk
Burnett, Frances (Hodgson)	1886.0	Little Lord Fauntleroy	enk
Crofts, John	1886.0	Effie and her strange acquaintances	enk
Clifford, W. K., Mrs	1886.0	Very short stories and verses for children	enk
Jefferies, Richard	1886.0	After London, or, Wild England	enk
Sidey, James A. (James Archibald)	1886.0	Remollescences of a medical student	stk
abbé, Prévost	1886.0	History of Manon Lescaut and of the Chevalier des Grieux	enk
Barras, Julius	1886.0	Rama : a sensational story of Indian village life	enk
Jefferies, Richard	1887.0	Amaryllis at the fair, a novel	enk
Scott, Walter, Sir	1887.0	Essays on chivalry, romance, and the drama	enk
Crawford, F. Marion (Francis Marion)	1887.0	Marzio's crucifix	enk
Roberts, Morley	1887.0	The western Avernus, or, Toil and travel in further North America	enk
Haggard, H. Rider (Henry Rider)	1887.0	Jess	enk
Kennard, Nina H, Mrs	1887.0	Mrs. Siddons	enk
Caine, Hall, Sir	1887.0	The deemster : a romance	enk
Caine, Hall, Sir	1887.0	The deemster	enk
Frey, Albert R. (Albert Romer)	1887.0	Sobriquets and nicknames	enk
James, Henry	1887.0	Daisy Miller: a study, Four meetings, Longstaff's marriage, Benvolio	enk
	1887.0	Aucassin & Nicolette; a love story:	enk
Duchess	1887.0	Faith and unfaith	enk
Scott, Walter, Sir	1887.0	Marmion; a tale of Flodden Field	enk
Black, William	1887.0	Sabina Zembra, a novel in three volumes	enk
Carlyle, Thomas	1887.0	James Carlyle. Jane Welsh Carlyle. Appendix	enk
Gissing, George	1887.0	Thyrza	enk
Moore, George	1887.0	A mere accident	enk
Pater, Walter	1887.0	Imaginary portraits	enk
Ashton, John	1887.0	Romances of chivalry told and illustrated in facsimile	enk
Thackeray, William Makepeace	1887.0	The history of Samuel Titmarsh and the great Hoggarty diamond etc. etc	enk
Bourget, Paul	1887.0	A cruel enigma	enk
Marguerite	1887.0	The fortunate lovers;	enk
Loti, Pierre	1887.0	My brother Yves	enk
O'Conor-Eccles, Charlotte	1887.0	Modern men, by a modern maid	enk
White, William Hale	1887.0	The revolution in Tanner's lane	enk
Daudet, Alphonse	1887.0	"Tartarin of Tarascon; traveller, ""Turk"", and lion-hunter"	enk
Daudet, Alphonse	1887.0	La Belle Nivernaise : the story of an old boat and her crew	enk
Daudet, Alphonse	1887.0	Tartarin on the Alps	enk
Gogolʹ, Nikolaĭ Vasilʹevich	1887.0	Taras Bulba : also St. John's Eve, and other stories	enk
Thackeray, William Makepeace	1887.0	Sultan Stork, and other stories and sketches : (1829-1844) : now first collected ; to which is added, The bibliography of Thackeray : revised and considerably enlarged	enk
Henty, G. A. (George Alfred)	1887.0	The bravest of the brave, or, With Peterborough in Spain	enk
Henty, G. A. (George Alfred)	1887.0	A final reckoning : a tale of bush life in Australia	enk
Henty, G. A. (George Alfred)	1887.0	With Wolfe in Canada, or, The winning of a continent	enk
Ballantyne, R. M. (Robert Michael)	1887.0	The coral island : a tale of the Pacific Ocean	enk
Pansy	1887.0	Workers together, or, An endless chain	enk
Griffis, William Elliot	1887.0	Japanese fairy world;	enk
	1887.0	Dreamland and ghostland : an original collection of tales and warnings from the borderland of substance and shadow : embracing remarkable dreams, presentiments, and coincidences, records of singular personal experience by various writers, startling stories from individual and family history, mysterious incidents from the lips of living narrators, and some psychological studies, grave and gay	enk
Winter, John Strange	1887.0	Garrison gossip gathered in Blankhampton : a novel	enk
Ouida	1887.0	A house party : a novel	enk
Oliphant	1887.0	A country gentleman and his family	enk
Cunningham, H. S. (Henry Stewart), Sir	1887.0	The C??ruleans	enk
Cunningham, H. S. (Henry Stewart), Sir	1887.0	The Cruleans : a vacation idyll	enk
Hardy, Thomas	1887.0	The woodlanders	enk
Baring-Gould, S. (Sabine)	1887.0	The Gaverocks;	enk
Harte, Bret	1887.0	The crusade of the 'Excelsior'	enk
Al Arawiyah	1887.0	Tales of the caliph	enk
Du Boisgobey, Fortun??	1887.0	The detective's eye ;	enk
Dostoyevsky, Fyodor	1887.0	Injury and insult	enk
Verne, Jules	1887.0	The clipper of the clouds	enk
Du Boisgobey, Fortun??	1887.0	The condemned door or, The secret of Trigabon castle	enk
D'Avigdor, Elim Henry	1887.0	A loose rein	enk
Rāmasvāmi Raju, P. V	1887.0	Indian fables	enk
Tolstoy, Leo, graf	1887.0	My husband and I; and other stories	enk
Ballantyne, R. M. (Robert Michael)	1887.0	Under the waves	enk
Crawford, F. Marion (Francis Marion)	1887.0	Paul Patoff	enk
Duchess	1887.0	The Duchess	enk
Ewing, Juliana Horatia Gatty	1887.0	Dandelion clocks and other tales	enk
Fenn, George Manville	1887.0	Yussuf the guide	enk
Henty, G. A. (George Alfred)	1887.0	For the temple;	enk
Moore, George	1887.0	A drama in muslin	enk
Stockton, Frank Richard	1887.0	A borrowed month	stk
Winter, John Strange	1887.0	Army society	enk
Cameron, Verney Lovett	1887.0	In savage Africa, or, The adventures of Frank Baldwin from Gold Coast to Zanzibar	enk
Lee, R	1887.0	The African wanderers, or, The adventures of Carlos and Antonio	enk
V??r???_?a-li?_?gamu, Kanduk??ri	1887.0	Fortune's wheel;	enk
Besant, Walter, Sir	1887.0	Uncle Jack, etc	enk
Lawless, Emily	1887.0	Major Lawrence, F.L.S	enk
L'Estrange, A. G	1887.0	Vert de Vert's Eton days and other sketches and memories	enk
Mackay, Charles	1887.0	The twin soul; or, The strange experiences of Mr. Rameses	enk
Saxby, Jessie Margaret Edmondston	1887.0	Breakers ahead; or, Uncle Jack's stories of great shipwrecks of recent times	enk
	1887.0	Voluntaries for an East London Hospital	enk
Zola, Émile	1887.0	The conquest of Plassans	enk
Black, William	1887.0	Sabina Zembra	enk
Croker, B. M. (Bithia Mary)	1887.0	A bird of passage	enk
Dumas, Alexandre	1887.0	The Count of Monte-Cristo	enk
Hayens, Herbert	1887.0	Clevely sahib	enk
Norway, Arthur H	1887.0	The government official	enk
Service, John	1887.0	The life and recollections of Doctor Duguid of Kilwinning	stk
Thackeray, William Makepeace	1887.0	A collection of letters of Thackeray, 1847-1855	enk
Quiller-Couch, Arthur Thomas, Sir	1887.0	Dead man's rock	enk
Meredith, George	1887.0	Evan Harrington	enk
Coleman, John	1887.0	The rival queens	enk
Coleman, John	1887.0	The rival queens : a story of the modern stage	enk
Longfellow, Henry Wadsworth	1887.0	Longfellow's Hyperion, Kavanagh, and The Trouveres	enk
A. L. O. E	1887.0	"The young pilgrim : a tale illustrative of ""The Pilgrim's progress"""	enk
Russell, William Clark	1887.0	A book for the hammock	enk
Marston, Philip Bourke	1887.0	For a song's sake and other stories	enk
Burnand, F. C. (Francis Cowley), Sir	1887.0	The incompleat angler	enk
Hort, Alfred, Mrs	1887.0	Via Nicaragua; a sketch of travel	enk
Macduff, John R. (John Ross)	1887.0	The story of a shell : a romance of the sea with some sea teachings : a book for boys and girls	enk
Carey, Rosa Nouchette	1887.0	Wee wifie, a novel	enk
Fothergill, Jessie	1887.0	Borderland; a country-town chronicle	enk
Wood, Ellen	1887.0	Anne Hereford. A novel	enk
Devey, Louisa	1887.0	Life of Rosina, lady Lytton, with numerous extracts from her ms. autobiography and other original documents, published in vindication of her memory	enk
Layard, Austen Henry, Sir	1887.0	Early adventures in Persia, Susiana, and Babylonia, including a residence among the Bakhtiyari and other wild tribes before the discovery of Nineveh	enk
Crouch, Archer Philip	1887.0	On a surf-bound coast; or, Cable-laying in the African tropics	enk
Bidder, M	1887.0	Westminster cloisters; the story of a life's ambition	enk
Corbett, Julian Stafford, Sir	1887.0	For God and gold	enk
Ellis, A. B. (Alfred Burdon)	1887.0	South African sketches	enk
Laffan, May	1887.0	Ismay's children	enk
Grant, David	1887.0	Scotch stories : or, The chronicles of Keckleton	stk
Hoare, Edward N	1887.0	Foxholt : and the light that burned there	enk
Farjeon, B. L. (Benjamin Leopold)	1887.0	A secret inheritance	enk
Greer, Tom	1887.0	A modern Dædalus	enk
Holley, Marietta	1887.0	"Samantha at Saratoga; or, ""Racin' after fashion"""	enk
Molloy, J. Fitzgerald (Joseph Fitzgerald)	1887.0	A modern magician. A romance	enk
Dostoyevsky, Fyodor	1887.0	The idiot	enk
Dostoyevsky, Fyodor	1887.0	The friend of the family; and The gambler	enk
Cliffe, Francis Henry	1887.0	Can it be true?	enk
Philips, F. C	1887.0	The dean and his daughter	enk
Lean, Florence	1887.0	Driven to bay. A novel	enk
Fothergill, Caroline	1887.0	An enthusiast	enk
Smart, Hawley	1887.0	A false start	enk
Westbury, Hugh	1887.0	Frederick Hazzleden	enk
Russell, William Clark	1887.0	The frozen pirate	enk
Veley, Margaret	1887.0	A garden of memories. Mrs. Austin. Lizzie's bargain	enk
Russell, William Clark	1887.0	The Golden Hope	enk
Burrard, W. Dutton	1887.0	A great platonic friendship	enk
Davidson, Hugh Coleman	1887.0	The green hills by the sea;	enk
Westall, William	1887.0	Her two millions	enk
Robinson, F. W. (Frederick William)	1887.0	In bad hands, and other tales	enk
Linskill, Mary	1887.0	In exchange for a soul;	enk
Lyall, Edna	1887.0	Knight-errant	enk
Wood, Ellen	1887.0	Lady Grace, and other stories	enk
Braddon, M. E. (Mary Elizabeth)	1887.0	Like and unlike	enk
Collins, Wilkie	1887.0	Little novels	enk
Hardy, Iza Duffus	1887.0	Love in idleness;	enk
Smith, M. E	1887.0	Love and liking	enk
Wildenbruch, Ernst von	1887.0	The master of Tanagra	enk
Alexander, Mrs	1887.0	Mona's choice	enk
Middlemass, Jean	1887.0	Nelly Jocelyn, widow	enk
Barry, William Francis	1887.0	The new Antigone	enk
Betham-Edwards, Matilda	1887.0	Next of kin wanted	enk
	1887.0	Poor Nellie	stk
Majendie, Margaret	1887.0	Precautions	enk
Baring-Gould, S. (Sabine)	1887.0	Red spider	enk
Lloyd, Jessie Sale	1887.0	Scamp;	enk
Warden, Florence	1887.0	Scheherazade	enk
Caine, Hall, Sir	1887.0	A son of Hagar	enk
Oliphant	1887.0	The son of his father	enk
Wynne, Catherine Simpson	1887.0	The story of a kiss	enk
Gambier, James W	1887.0	Swifter than a weaver's shuttle	enk
Panton, Jane Ellen	1887.0	A tangled chain	enk
Bigg-Wither, G	1887.0	The three curates	enk
Curtois, Margaret Anne	1887.0	Tracked	enk
Boyle, Frederick	1887.0	The treasure of Thorburns	enk
Carey, Rosa Nouchette	1887.0	Uncle Max	enk
Murray, David Christie	1887.0	The weaker vessel	enk
Salter, Peter King	1887.0	Whitepatch	enk
Price, Alice	1887.0	A wilful young woman	enk
Besant, Walter, Sir	1887.0	The world went very well then	enk
Taylor, Meadows	1887.0	Tippoo Sultaun : a tale of the Mysore War	enk
Balzac, Honoré de	1887.0	Albert Savarus, Paz, Madame Firmiani	enk
Balzac, Honoré de	1887.0	Start in life, Vendetta, Study of a woman, The message	enk
Balzac, Honoré de	1887.0	Comedy of human life	enk
Gilbert, Rosa M. (Rosa Mulholland)	1887.0	The late Miss Hollingford	enk
I. R. (Isabelle Randall)	1887.0	A lady's ranche life in Montana	enk
	1887.0	Icelandic sagas and other historical documents relating to the settlements and descents of the Northmen on the British isles	enk
Fenn, George Manville	1887.0	Devon boys : a tale of the north shore	enk
Fogerty, J	1887.0	Caterina	enk
Besant, Walter, Sir	1887.0	Ready-money Mortiboy; a matter-of-fact story	enk
Jameson, Margaret	1887.0	Training : a tale of North-country life	enk
Freytag, Gustav	1887.0	The lost manuscript. A novel	enk
Reade, Charles	1887.0	The wandering heir, a matter-of-fact romance	enk
Philips, F. C. (Francis Charles)	1887.0	As in a looking glass : A novel	enk
Conscience, Hendrik	1887.0	Off to California : a tale of the gold country	enk
Boissier, Gaston	1887.0	Madame de Sévigné	enk
Reynardson, C. T. S. Birch (Charles Thomas Samuel Birch)	1887.0	Sports & anecdotes of bygone days in England, Scotland, Ireland, Italy and the Sunny South	enk
Fox, S. M	1887.0	Our own Pompeii	stk
E. W	1887.0	The island of anarchy	enk
Crawford, F. Marion (Francis Marion)	1888.0	With the immortals	enk
Garnett, Richard	1888.0	The twilight of the gods, and other tales	enk
Haggard, H. Rider (Henry Rider)	1888.0	Mr. Meeson's will	enk
Besant, Walter, Sir	1888.0	Herr Paulus : his rise, his greatness and his fall	enk
Black, William	1888.0	The strange adventures of a house-boat	enk
Churchward, William Brown	1888.0	Blackbirding in the South Pacific; or, The first white man on the beach	enk
Henty, G. A. (George Alfred)	1888.0	The cat of Bubastes : a tale of ancient Egypt	enk
Hodgetts, J. Frederick (James Frederick)	1888.0	Richard IV, Plantagenet	enk
James, Henry	1888.0	The reverberator [a novel]	enk
Farjeon, B. L. (Benjamin Leopold)	1888.0	Miser Farebrother. A novel	enk
Farjeon, B. L. (Benjamin Leopold)	1888.0	Miser Farebrother	enk
Cable, George Washington	1888.0	Bonaventure: a prose pastoral of Acadian Louisiana	enk
Marshall, Emma, Mrs	1888.0	On the banks of the Ouse; or, Life in Olney a hundred years ago	enk
Clough, Arthur Hugh	1888.0	Prose remains of Arthur Hugh Clough : with a selection from his letters and a memoir	enk
Uchard, Mario	1888.0	My uncle Barbassou	enk
Duchess	1888.0	A modern Circe, a novel	enk
Shorthouse, J. H. (Joseph Henry)	1888.0	A teacher of the violin	enk
Ward, Mary Augusta	1888.0	Robert Elsmere	enk
Morris, William	1888.0	A dream of John Ball and A king's lesson	enk
Jókai, Mór	1888.0	Timar's two worlds	stk
Gissing, George	1888.0	A life's morning	enk
Sharp, William	1888.0	Life of Heinrich Heine	enk
Perelaer, M. T. H. (Michael Theophile Hubert)	1888.0	Baboe Dalima; or, The opium fiend	enk
Dostoyevsky, Fyodor	1888.0	Uncle's dream; and, The permanent husband	enk
Yeats, W. B. (William Butler)	1888.0	Fairy and folk tales of the Irish peasantry	enk
Sellers, Charles	1888.0	Tales from the lands of nuts and grapes (Spanish and Portuguese folklore)	enk
Owen, Daniel	1888.0	Rhys Lewis, minister of Bethel : an autobiography	enk
Chamberlain, Basil Hall	1888.0	Aino folk-tales. By Basil Hall Chamberlain. With introduction by Edward B. Taylor	enk
Whittier, John Greenleaf	1888.0	[The writings of John Greenleaf Whittier in 7 v.]	enk
Grimm, Jacob	1888.0	German popular stories and fairy tales	enk
Clouston, W. A. (William Alexander)	1888.0	The book of noodles; stories of simpletons; or, Fools and their follies	enk
[Marston, Edward]	1888.0	An amateur angler's days in Dove Dale, or, How I spent my three weeks' holiday. (July 24-Aug. 14, 1884.)	enk
Henty, G. A. (George Alfred)	1888.0	For the temple : a tale of the fall of Jerusalem	enk
Henty, G. A. (George Alfred)	1888.0	In the reign of terror : the adventures of a Westminster boy	enk
Henty, G. A. (George Alfred)	1888.0	Orange and green : a tale of the Boyne and Limerick	enk
Allen, Grant	1888.0	The white man's foot	enk
Pennell, Joseph	1888.0	Our sentimental journey through France and Italy	enk
Hullah, Mary E	1888.0	In hot haste	enk
Thomson, Joseph	1888.0	Ulu : an African romance	enk
Thomson, Joseph	1888.0	Ulu	enk
Lang, Andrew	1888.0	The gold of Fairnilee	enk
Baring-Gould, S. (Sabine)	1888.0	Eve;	enk
Betham-Edwards, Matilda	1888.0	The parting of the ways	enk
Worboise, Emma Jane	1888.0	Grey and gold	enk
Lester, H. F	1888.0	Hartas Maturin	enk
Rae, W. Fraser	1888.0	A modern brigand	enk
Smart, Hawley	1888.0	Saddle and sabre	enk
Avon,pseud	1888.0	How I became a sportsman	enk
Coleman, John	1888.0	The victors: Macready. The Keans. Phelps. Charles Mathews. Madame Vestris. The Wigans. Benjamin Webster. William Woolgar. Ryder: an autobiographical sketch	enk
Blackmore, R. D. (Richard Dooddridge)	1888.0	Lorna Doone	enk
Defoe, Daniel	1888.0	The novels and miscellaneous works of Daniel De Foe, with prefaces and notes, including those attributed to Sir Walter Scott	enk
Daudet, Alphonse	1888.0	Thirty years of Paris and of my literary life;	enk
Ballantyne, R. M. (Robert Michael)	1888.0	The middy and the Moors	enk
Fenn, George Manville	1888.0	Dick o' the fens	enk
Henty, G. A. (George Alfred)	1888.0	Orange and green	enk
Marryat, Frederick	1888.0	The privateersman	enk
Roberts, Randal Howland	1888.0	The silver trout	enk
Surtees, Robert Smith	1888.0	Hillingdon Hall or The cockney squire	enk
Temple, Dorothy (Osborne)	1888.0	Letters from Dorothy Osborne to Sir William Temple, 1652-54	enk
Thornhill, Mark	1888.0	Indian fairy tales	enk
Voltaire	1888.0	Voltaire's Candide	enk
A. L. O. E	1888.0	Pride and his prisoners	enk
Crawfurd, Oswald	1888.0	Beyond the seas;	enk
Farjeon, B. L. (Benjamin Leopold)	1888.0	The tragedy of Featherstone	enk
Garnett, Edward	1888.0	The Paradox club	enk
Gibbon, Charles	1888.0	Beyond compare	enk
Goncourt, Edmond de	1888.0	Ren??e Mauperin	enk
MacDonald, George	1888.0	[Works]	enk
Marks, Mary A. M	1888.0	Masters of the world	enk
	1888.0	My trivial life and misfortune	stk
Pembroke, Sidney Herbert	1888.0	Roots;	enk
Smart, Hawley	1888.0	The master of Rathkelly	enk
Turner, Edward F	1888.0	T leaves	enk
Du Boisgobey, Fortun??	1888.0	The steel necklace	enk
Oliphant	1888.0	The second son;	enk
Besant, Walter, Sir	1888.0	The seamy side	enk
Besant, Walter, Sir	1888.0	Herr Paulus	enk
Lyall, Edna	1888.0	Donovan : a modern Englishman	enk
Wood, Ellen	1888.0	The story of Charles Strange	enk
Norris, W. E. (William Edward)	1888.0	The rogue	enk
Pullen-Burry, B. (Bessie)	1888.0	Nobly won : a novel	enk
Arnold, Edwin Lester Londen	1888.0	England as she seems : being selections from the notes of an Arab hadji	enk
Tolstoy, Leo, graf	1888.0	Childhood, boyhood, and youth	enk
Thackeray, William Makepeace	1888.0	Denis Duval : miscellaneous essays, sketches and reviews	enk
Wood, Ellen	1888.0	Elster's folly. A novel	enk
Andersen, H. C. (Hans Christian)	1888.0	Stories for the household	enk
Hillam, S. A	1888.0	Sheykh Hassan: the spiritualist.  A view of the supernatural	enk
Tolstoy, Leo, graf	1888.0	A Russian proprieter : and other stories	enk
	1888.0	In palace and Faubourg : a story of the French revolution	enk
Barrie, J. M. (James Matthew)	1888.0	Better dead	enk
Clapperton, Jane Hume	1888.0	Margaret Dunmore; or, A socialist home	enk
Barry, William Francis	1888.0	The new Antigone : a romance	enk
Haggard, H. Rider (Henry Rider)	1888.0	Maiwa's revenge : or, The war of the little hand	enk
Clements, Mary E	1888.0	Sheltering arms; or, The entrance of God's word gives light	enk
Phillips, Alfred R	1888.0	"Thundersleigh; or, The knight's quest. A sequel to ""Desdichado."""	enk
	1888.0	The children's treasury of pictures and stories	enk
Turgenev, Ivan Sergi︠e︡evích	1888.0	The unfortunate one : a novel	enk
Erroll, Henry	1888.0	The academician	enk
Barrett, Frank	1888.0	The admirable Lady Biddy Fane	enk
Yonge, Charlotte M. (Charlotte Mary)	1888.0	Beechcroft at Rockstone	enk
	1888.0	A Breton maiden	enk
Kennard, Edward	1888.0	A crack county	enk
Lean, Florence	1888.0	A crown of shame. A novel	enk
Russell, William Clark	1888.0	The death ship	enk
Tabor, Eliza	1888.0	A double wedding	enk
Braddon, M. E. (Mary Elizabeth)	1888.0	The fatal three	enk
Soltera, Maria	1888.0	The fat of the land	stk
Fothergill, Jessie	1888.0	From Moor isles	enk
Black, William	1888.0	In far Lochaber	enk
Blackburne, Gertrude Mary Ireland	1888.0	In opposition	enk
Curwen, Henry	1888.0	Lady Bluebeard	stk
Solly, Henry	1888.0	Lady Stella and her lover	enk
Zola, Émile	1888.0	La fortuna de los Rougon	enk
Leys, John K	1888.0	The Lindsays	enk
Gaskell, Philip	1888.0	A lion among the ladies	enk
Grant, James	1888.0	Love's labour won	enk
Fenn, George Manville	1888.0	The man with a shadow	enk
Edmonds	1888.0	Mary Myles, a study	enk
Stevens, Augusta De Grasse	1888.0	Miss Hildreth	enk
O'Meara, Kathleen	1888.0	Narka	enk
Stanley, Jane	1888.0	A new face at the door	enk
Reid, Mayne	1888.0	No quarter!	enk
Davidson, Hugh Coleman	1888.0	The old Adam	enk
McDonnel, Emily Fanny Dorothy Osborn	1888.0	Peccavi	enk
